city,country,id,lat,lon,current_temp,current_humidity,current_clouds,current_wind
Port Blair,IN,1259385,11.66667,92.75,84.51,96,68,17.25
Vardo,NO,777019,70.370483,31.110661,44.17,93,75,5.82
Mandalgovi,MN,2030065,45.762501,106.27082800000001,84.24,28,88,4.61
Morondava,MG,1058381,-20.283331,44.283328999999995,70.38,85,0,5.06
Tabou,CI,2281120,4.42295,-7.3528,78.75,100,88,16.02
Mareeba,AU,2158767,-17.0,145.433334,78.8,57,20,14.99
Nijar,ES,2513222,36.966549,-2.20595,71.6,49,0,3.36
Sur,OM,286245,22.566669,59.528889,91.17,80,0,3.38
Avarua,CK,4035715,-21.207781,-159.774994,77,88,40,4.7
Morro Bay,US,5374920,35.365809999999996,-120.849899,60.19,87,1,6.93
Pevek,RU,2122090,69.700829,170.313324,50.4,65,0,2.37
Hay River,CA,5972762,60.815552000000004,-115.799927,60.8,77,75,8.05
Coahuayana,MX,4013679,18.73333,-103.683327,78.21,100,36,6.06
Faanui,PF,4034551,-16.48333,-151.75,79.47,100,76,15.01
Nuevo Progreso,MX,3522526,23.16667,-97.949997,76.59,100,80,2.93
Polovinnoye,RU,1494523,54.791389,65.986389,61.74,73,64,13
Khatanga,RU,2022572,71.966667,102.5,68.22,83,44,10.54
Longyearbyen,SJ,2729907,78.218597,15.640070000000001,39.2,86,20,11.41
Tra Vinh,VN,1563926,9.93472,106.345284,90.81,73,8,4.94
Barrow,US,5880054,71.290581,-156.788727,35.6,100,20,9.17
Ebbs,AT,2780579,47.633331,12.21667,55.4,66,40,2.24
Fairbanks,US,5861897,64.837784,-147.716385,74.17,46,90,17.22
Fukue,JP,1863997,32.688061,128.841934,74.52,100,80,6.29
Lazaro Cardenas,MX,4026082,17.95833,-102.199997,74.52,100,44,2.71
Solnechnyy,RU,1538639,56.115829000000005,92.925278,77,38,40,6.71
Biswan,IN,1275435,27.5,81.0,96.57,63,12,9.19
Natchitoches,US,4334720,31.760719,-93.08627299999999,76.8,94,1,4.7
Bilibino,RU,2126682,68.054642,166.43721000000002,70.56,33,92,2.48
Vestmannaeyjar,IS,3412093,63.442730000000005,-20.27339,49.14,99,92,15.68
Jardim,BR,3460087,-21.48028,-56.138062,59.31,82,0,3.15
Morant Bay,JM,3489440,17.881451000000002,-76.40927099999999,82.4,78,20,13.87
Kalabo,ZM,915471,-14.97004,22.681379,57.42,66,20,7.52
Conakry,GN,2422465,9.53795,-13.67729,80.1,100,88,10.65
Ostrovnoy,RU,556268,68.053062,39.513062,58.23,91,68,5.06
Pemberton,CA,6100799,50.31641,-122.802727,57.78,62,0,1.25
Saint-Pierre,PM,3424934,46.765442,-56.169491,45.27,95,20,4.94
Velasco Ibarra,EC,3650273,-1.05,-79.61666899999999,74.52,82,88,2.37
Karoi,ZW,889191,-16.809931,29.692471,57.6,78,0,4.27
Antalaha,MG,1071296,-14.900329999999999,50.278759,75.15,88,48,14.34
Nevers,FR,2990474,46.989559,3.159,50,71,0,11.41
Palmer,US,5871146,61.59972,-149.112778,59,58,40,11.41
Aksu,CN,1529660,41.123058,80.264442,69.03,59,48,3.94
Sechura,PE,3691954,-5.55694,-80.82222,64.17,99,0,9.42
Castleblayney,IE,2965649,54.116668999999995,-6.7333300000000005,50,81,40,3.36
Marica,BR,3457708,-22.919439,-42.818611,67.96,94,0,5.82
Almaznyy,RU,582447,48.044762,40.04501,83.7,29,0,10.2
Sinnamary,GF,3380290,5.38333,-52.950001,78.75,100,88,7.74
Montes Altos,BR,3394539,-5.83333,-47.066669,68,94,0,2.82
Ewa Beach,US,5855051,21.315559,-158.007217,80.6,54,1,9.17
Bethel,US,5880568,60.792221,-161.755829,51.8,76,90,16.11
Dzhebariki-Khaya,RU,2024626,62.216671,135.800003,63.54,50,80,3.6
Pemangkat,ID,1631637,1.16667,108.96666699999999,87.57,86,12,2.37
Gazojak,TM,1514792,41.187462,61.403599,92.88,32,0,4.16
Aguimes,ES,2522325,27.90539,-15.44609,68,72,75,21.92
Prainha,BR,3391287,-1.8,-53.48,72.9,99,8,2.15
